"Name of Researcher","Name of Institution","Name of Project","Type","Year","Reference","Links"
"Matt Smith","Glasgow Caledonian University","A mixed methods evaluation of peer-to-peer naloxone training and supply in Scotland","Report","2022","https://researchonline.gcu.ac.uk/en/projects/a-mixed-methods-evaluation-of-peer-to-peer-naloxone-training-and-
https://drugdeathstaskforce.scot/about-the-taskforce/funding-and-key-projects/","https://researchonline.gcu.ac.uk/en/projects/a-mixed-methods-evaluation-of-peer-to-peer-naloxone-training-and-"
"Kirsten Trayner","Glasgow Caledonian University","A pragmatic harm reduction approach to manage a large outbreak of wound botulism in people who inject drugs, Scotland 2015","Article","2018","Trayner, K. M. A., Weir, A., McAuley, A., Godbole, G., Amar, C., Grant, K., Penrice, G., & Roy, K.M. (2018). A pragmatic harm reduction approach to manage a large breakout of wound boutlism in people who inject drugs, Scotland 2015'. Harm Reduction Journal, 15(36).","https://researchonline.gcu.ac.uk/en/publications/a-pragmatic-harm-reduction-approach-to-manage-a-large-outbreak-of"
"Kirsten Trayner","Glasgow Caledonian University","Increased risk of HIV and other drug-related harms associated with injecting in public places: national bio-behavioural survey of people who inject drugs","Article","2020","Trayner, K. M. A., McAuley, A., Palmateer, N. E., Goldberg, D. J., Shepherd, S. J., Gunson, R. N., Tweed, E. J., Priyadarshi, S., Milosevic, C., & Hutchinson, S. J. (2020). Increased risk of HIV and other drug-related harms associated with injecting in public places: national bio-behavioural survey of people who inject drugs. The International journal on drug policy, 77, 102663. https://doi.org/10.1016/j.drugpo.2020.102663","https://doi.org/10.1016/j.drugpo.2020.102663"
"Kirsten Trayner","Glasgow Caledonian University","Evaluation of the scale-up of HIV testing among people who inject drugs in Scotland in the context of an ongoing HIV outbreak","Article","2021","Trayner, K. M. A., Palmateer, N.E., McAuley, A., Metclafe, R., Goldberg, D., Peters, E., Craik, J., Gunson, R.N., Thain, D., Carter, D., & Hutchinson, S. (2021). Evaluation of the scale-up of HIV testing amoung people who inject drugs in Scotland in the context of an ongoing HIV outbreak. International Journal of Drug Policy, 96.","https://researchonline.gcu.ac.uk/en/publications/evaluation-of-the-scale-up-of-hiv-testing-among-people-who-inject"
"Kirsten Trayner","Glasgow Caledonian University","High willingness to use drug consumption rooms among people who inject drugs in Scotland: findings from a national bio-behavioural survey among people who inject drugs","Article","2021","Trayner, K., Palmateer, N., Hutchinson, S., Goldberg, D., et al. (2021). High willingness to use drug consumption rooms among people who inject drugs in Scotland: findings from a national bio-behavioural survey among people who inject drugs. International Journal of Drug Policy, 90.",NA
"Kirsten Trayner","Glasgow Caledonian University","Epidemiological studies to inform the prevention and control of HIV and other drug-related harms among people who inject drugs in Scotland","PhD thesis","2021","https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.849214","https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.849214"
"Kirsten Trayner","Glasgow Caledonian University","Examining the impact of the first wave of COVID-19 and associated control measures on interventions to prevent blood-borne viruses among people who inject drugs in Scotland: an interrupted time series study","Article","2022","Trayner, K.M.A., McAuley, A., Palmateer, N.E., Yeung, A., Goldberg, D., et al. (2022). Examining the impact of the first wave of COVID-19 and assoicated control measures on interventions to prevent blood-borne viruses among people who inject drugs in Scotland: An interrupted time series study. Drug and Alcohol Dependence, 32.","https://researchonline.gcu.ac.uk/en/publications/examining-the-impact-of-the-first-wave-of-covid-19-and-associated"
"Kirsten Trayner","Glasgow Caledonian University","Evaluation of services and interventions designed to prevent the spread of BBVs among PWID","Editorial","2022","Grimshaw, C., & Trayner, K. (2022). Editorial on 'Epidemiology of HIV infection and association behaviours among people who inject drugs in England, Wales, and Northern Ireland: nearly 40 years on'. HIV Medicine, 23(9), 933-935.","https://onlinelibrary.wiley.com/doi/10.1111/hiv.13300"
"Heather Valerio","Glasgow Caledonian University","Determinants of hepatitis C antiviral effectiveness awareness among people who inject drugs in the direct-acting antiviral era","Article","2018","Valerio, H., McAuley, A., Innes, H., Palmateer, N., Goldberg, D. J., Munro, A., Taylor, A., & Hutchinson, S. J. (2018). Determinants of hepatitis C antiviral effectiveness awareness among people who inject drugs in the direct-acting antiviral era. The International journal on drug policy, 52, 115-122. https://doi.org/10.1016/j.drugpo.2017.12.014","https://doi.org/10.1016/j.drugpo.2017.12.014"
"David Whiteley","Glasgow Caledonian University","Recontextualising the lived experience of hepatitis C and its treatment","PhD thesis","2016","https://www.napier.ac.uk/research-and-innovation/research-search/outputs/recontextualising-the-lived-experience-of-hepatitis-c-and-its-treatment-1","https://www.napier.ac.uk/research-and-innovation/research-search/outputs/recontextualising-the-lived-experience-of-hepatitis-c-and-its-treatment-1"
"David Whiteley","Glasgow Caledonian University","Eliminating hepaitits C: Time to embrace primary care's critical role?","Article","2021","Jarvis, H., & Whiteley, D. (2021). Eliminating hepatitis C: time to embrace primary care's critical role? BJGP, 71(707): 250-251 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8163466/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8163466/"
"David Whiteley","Glasgow Caledonian University","Developing a primary care-initiated hepatitis C treatment pathway in Scotland: a qualitative study","Article","2022","Whiteley, D., Speakman, E. M., Elliott, L., Jarvis, H., Davidson, K., Quinn, M., & Flowers, P. (2022). Developing a primary care-initiated hepatitis C treatment pathway in Scotland: a qualitative study. The British journal of general practice : the journal of the Royal College of General Practitioners. https://doi.org/10.3399/BJGP.2022.0044","https://doi.org/10.3399/BJGP.2022.0044"
"David Whiteley","Glasgow Caledonian University","Hepatitis C testing among three distinct groups of gay, bisexual and other men who have sex with men: A cross-sectional study in the Celtic nations","Article","2023","Whiteley D., Strongylou D., Brown S., Vickerman P. & Frankis J. (2023) Hepatitis C testing among three distinct groups of gay, bisexual and other men who have sex with men: A cross-sectional study in the Celtic nations.","https://pubmed.ncbi.nlm.nih.gov/37045586/"
"David Whiteley","Glasgow Caledonian University","Hepatitis C in a new therapeutic era: Recontextualising the lived experience","Article","2018","Whiteley, D., Whittaker, A., Elliott, L., & Cunningham-Burley, S. (2018). Hepatitis C in a new therapeutic era: Recontextualising the lived experience. Journal of Clinical Nursing, 27(13-14), pp. 2729-2739.","https://onlinelibrary.wiley.com/doi/10.1111/jocn.14083"
"David Whiteley","Glasgow Caledonian University","Provider-related barriers and enablers to the provision of hepatitis C treatment by general practitioners in Scotland: A behaviour change analysis","Article","2020","Whiteley, D., Speakman, E., Elliott, L., Davidson, K., Hamilton, E., Jarvis, H., Quinn, M., & Flowers, P. (2020). Provider-related barriers and enablers to the provision of hepatitis C treatment by general practitioners in Scotland: A behaviour change analysis. Journal of Viral Hepatitis, 28, pp. 528-537.","https://onlinelibrary.wiley.com/doi/epdf/10.1111/jvh.13443"
"Alan Yeung","Glasgow Caledonian University","Assessing the impact of a temporary class drug order on ethylphenidate-related infections among people who inject drugs in Lothian, Scotland: an interrupted time–series analysis","Article","2017","Yeung, A., Weir, A., Austin, H., Morrison, K., et al. (2017). Assessing the impact of a temporary class drug order on ethylphenidate-related infections among people who inject drugs in Lothian, Scotland: An interrupted time-series analysis. Addiction, 112(10), pp. 1799-1807.","https://onlinelibrary.wiley.com/doi/10.1111/add.13898"
"Vincent Soriano","Infectious Diseases Unit, Madrid","Treatment of hepatitis C with new fixed dose combinations","Article","2017","Soriano, V., Fernandez-Montero, J. V., de Mendoza, C., Benitez-Gutierrez, L., Peña, J. M., Arias, A., & Barreiro, P. (2017). Treatment of hepatitis C with new fixed dose combinations. Expert opinion on pharmacotherapy, 18(12), 1235-1242. https://doi.org/10.1080/14656566.2017.1346609  ","https://pubmed.ncbi.nlm.nih.gov/28644739/"
"April Shaw","Kings College London","Developing participatory research to understand the health and treatment experiences of mid-life and older women experiencing homelessness and substance use in the UK","Research project","2018-2021",NA,NA
"Emily Tweed","MRC/CSO Social and Public Health Sciences Unit, University of Glasgow","""Taking away the chaos"": a health needs assessment for people who inject drugs in public places in Glasgow, Scotland","Article","2018","Tweed, E. J., Rodgers, M., Priyadarshi, S., & Crighton, E. (2018). ""Taking away the chaos"": a health needs assessment for people who inject drugs in public places in Glasgow, Scotland. BMC Public Health, 19(1), N.PAG-N.PAG. https://doi.org/10.1186/s12889-018-5718-9","https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-018-5718-9"
"Emily Tweed","MRC/CSO Social and Public Health Sciences Unit, University of Glasgow","Why are drug-related deaths among women increasing in Scotland? A mixed-methods analysis of possible explanations","Article","2020","Tweed, E. J., Miller, R. G., Schofield, J., Barnsdale, L., & Matheson, C. (2022). Why are drug-related deaths among women increasing in Scotland? A mixed-methods analysis of possible explanations. Drugs (Abingdon, England), 29(1), 62-75. https://doi.org/10.1080/09687637.2020.1856786","https://doi.org/10.1080/09687637.2020.1856786"
"Emily Tweed","MRC/CSO Social and Public Health Sciences Unit, University of Glasgow","Health of people experiencing co-occurring homelessness, imprisonment, substance use, sex work and/or severe mental illness in high-income countries: a systematic review and meta-analysis","Article","2021","Tweed, E., Thomson, R., Lewer, D., Sumpter, C., Kirolos, A., Southworth, P.M., et al. (2021). Health of people experiencing co-occuring homlessness, imprisonment, substance use, sex work and/or severe mental illness in high-income countries: a systematic review and meta analysis. Journal of Epidemiology & Community Health, 75(10).",NA
"Emily Tweed","MRC/CSO Social and Public Health Sciences Unit, University of Glasgow","Premature mortality in people affected by co-occurring homelessness, justice involvement, opioid dependence, and psychosis: a retrospective cohort study using linked administrative data","Article","2022","Tweed, E., Leyland, A.H., Morrison, D., & Katikireddi, S.V. (2022). Premature mortality in people affected by co-occurring homelessness, justice involvement, opioid dependence, and psychosis: a retrospective cohort study using linked administrative data. Lancet Public Health, 7(9), pp. 733-743.","https://eprints.gla.ac.uk/272894/"
"Emily Tweed","MRC/CSO Social and Public Health Sciences Unit, University of Glasgow","Co-occurring homelessness, justice involvement, opioid dependence and psychosis: a cross-sectoral data linkage study","Article","2023","Tweed, E., Leyland, A.H., Morrison, D.S., & Katikireddi, S.V. (2023). Co-occurring homelessness, justice involvement, opioid dependence and psychosis: A cross-sectoral data linkage study. European Journal of Public Health, 33(2), pp. 249-256.","https://eprints.gla.ac.uk/292708/"
"Emily Tweed","MRC/CSO Social and Public Health Sciences Unit, University of Glasgow","Unlocking data to inform public health policy and practice: decision-maker perspectives on the use of cross-sectoral data as part of a whole systems approach","Research project","2021",NA,NA
"Megan Bardsley","National Infection Service, Public Health England, London, UK","The impact of direct-acting antivirals on hepatitis C viraemia among people who inject drugs in England; real-world data 2011-2018","Article","2021","Bardsley, M., Heinsbroek, E., Harris, R., Croxford, S., Edmundson, C., Hope, V., Hassan, N., Ijaz, S., Mandal, S., Shute, J., Hutchinson, S. J., Hickman, M., Sinka, K., & Phipps, E. (2021). The impact of direct-acting antivirals on hepatitis C viraemia among people who inject drugs in England; real-world data 2011-2018. Journal of Viral Hepatitis, 28(10), 1452-1463. https://doi.org/10.1111/jvh.13575","https://doi.org/10.1111/jvh.13575"
"Helen Alderson","NHS Fife","Characteristics of NPS use in patients admitted to acute psychiatric services in Southeast Scotland: a retrospective cross-sectional analysis following public health interventions","Article","2017","Bennett, K. H., Hare, H. M., Waller, R. M., Alderson, H. L., & Lawrie, S. (2017). Characteristics of NPS use in patients admitted to acute psychiatric services in Southeast Scotland: a retrospective cross-sectional analysis following public health interventions. BMJ open, 7(12), e015716. https://doi.org/10.1136/bmjopen-2016-015716","https://doi.org/10.1136/bmjopen-2016-015716"
"Elinor Dickie","Public Health Scotland","Drugs-related deaths rapid evidence review: Keeping people safe","Report","2017","Dickie, E., et al. (2017). Drug related deaths narrative rapid evidence review: Keeping people safe. Edinburgh: NHS Health Scotland.","https://www.sdf.org.uk/wp-content/uploads/2017/10/drugs-related-deaths-rapid-evidence-review.pdf"
"Sarah Donaldson","NHS Tayside","Transformation of identity in substance use as a pathway to recovery and the potential of treatment for hepatitis C: a systematic review","Article","2022","Donaldson, S.R., Radley, A., & Dillon, J.F.(2023). Transformation of identity in substance use as a pathway to recovery and the potentail of treatment for hepatitis C: a systematic review. Addiction, 118(3), pp.425-437.","https://doi.org/10.1111/add.16031"
"Wendy Hatrick","NHS Shetland","An exploration of the ethical paradigm and effect of knowledge of Hepatitis C Virus infection status on risk behaviour in injecting drug users, Shetland: a qualitative study","PhD","2017 (year completed)","Hatrick, Wendy. An Exploration of the Ethical Paradigm and Effect of Knowledge of Hepatitis C Virus Infection Status on Risk Behaviour in Injecting Drug Users: A Qualitative Study, Shetland, UK. Diss. Aberdeen University, 2017.","https://books.google.co.uk/books/about/An_Exploration_of_the_Ethical_Paradigm_a.html?id=jDpayQEACAAJ&redir_esc=y"
"Jane Parkinson","Public Health Scotland","Drug-related deaths in Scotland 1979-2013: evidence of a vulnerable cohort of young men living in deprived areas","Article","2018","Parkinson, J., Minton, J., Lewesy, J., Bouttell, J., & McCartney, G. (2018). Drug-related deaths in Scotland 1979-2013: evidence of a vulnerable cohort of young men living in deprived areas. BMC Public Health, 27(18), 357.","https://pubmed.ncbi.nlm.nih.gov/29580222/"
"Kirsten Trayner","Public Health Scotland","Effects of messaging on public support for drug consumption rooms in scotland, UK","Article","2020","Sumnall, H. R., Atkinson, A. M., Trayner, K. M. A., Gage, S. H., & McAuley, A. (2020). Effects of messaging on public support for drug consumption rooms in scotland, UK. International Journal of Drug Policy, 83, N.PAG-N.PAG. https://doi.org/10.1016/j.drugpo.2020.102855","https://doi.org/10.1016/j.drugpo.2020.102855"
"Alison Boyle","NHS Greater Glasgow and Clyde","Eight weeks of sofosbuvir/velpatasvir for genotype 3 hepatitis C in previously untreated patients with significant (F2/3) fibrosis","Article","2020","Boyle , A., Marra, F., Peters, E., Datta, S., Ritchie, T., Priest, M., Heydtmann, M., & Barclay, S. T. (2020). Eight weeks of sofosbuvir/velpatasvir for genotype 3 hepatitis C in previously untreated patients with significant (F2/3) fibrosis [Article]. Journal of Viral Hepatitis, 27(4), 371-375. https://doi.org/10.1111/jvh.13239","https://onlinelibrary.wiley.com/doi/10.1111/jvh.13239"
"Alison Boyle","NHS Greater Glasgow and Clyde","Recommendations for the management of drug–Drug interactions between the COVID ‐19 antiviral nirmatrelvir/ritonavir (paxlovid) and comedications","Article","2022","Marzolini, C., Kuritzkes, D.R., Marra, F., Boyle, A., Gibbons, S., Flexner, C., Pozniak, A., Boffito, M., Waters, L., Burger, D., Back, D.J. and Khoo, S. (2022), Recommendations for the Management of Drug–Drug Interactions Between the COVID-19 Antiviral Nirmatrelvir/Ritonavir (Paxlovid) and Comedications. Clin Pharmacol Ther, 112: 1191-1200. https://doi.org/10.1002/cpt.2646","https://doi.org/10.1002/cpt.2646"
"Ceilidh Grimshaw","NHS Greater Glasgow and Clyde","Evaluation of an inner city HIV pre-exposure prophylaxis service tailored to the needs of people who inject drugs","Article","2021","Grimshaw, C., Boyd, L., Smith, M., Estcourt, C. S., & Metcalfe, R. (2021). Evaluation of an inner city HIV pre-exposure prophylaxis service tailored to the needs of people who inject drugs. HIV medicine, 22(10), 965-970. https://doi.org/10.1111/hiv.13181  ","https://pubmed.ncbi.nlm.nih.gov/34585494/"
"Ceilidh Grimshaw","NHS Greater Glasgow and Clyde","Epidemiology of HIV infection and associated behaviours among people who inject drugs in England, Wales, and Northern Ireland: nearly 40 years on","Editorial","2022","Grimshaw, C., & Trayner, K. (2022). Editorial on 'Epidemiology of HIV infection and associated behaviours among people who inject drugs in England, Wales, and Northern Ireland: nearly 40 years on'. HIV Medicine, 23(9), pp. 933-935.","https://onlinelibrary.wiley.com/doi/10.1111/hiv.13300"
"Duncan Hill","NHS Lanarkshire","Prevalence of suboptimal dosing of methadone and buprenorphine and associated factors in opioid dependent patients","Article","2022","Al-Dewaissan, F. B. A. A., Hill, D. R., Evans, L., & Luz, T. C. B. (2022). Prevalence of suboptimal dosing of methadone and buprenorphine and associated factors in opioid dependent patients. Heroin Addiction & Related Clinical Problems, 24(2), 35-44. http://ezproxy.stir.ac.uk/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=156222681&site=ehost-live","http://ezproxy.stir.ac.uk/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=156222681&site=ehost-live"
"Duncan Hill","NHS Lanarkshire","Factors influencing the patient choice of community pharmacy for opioid replacement treatment in NHS Lanarkshire","Article","2017","Hill, D., Creechan, K., & Robertson, L. (2017). Factors influencing the patient choice of community pharmacy for opioid replacement treatment in NHS Lanarkshire.","https://www.pmhealthcare.co.uk/uploads/imagelib/pdfs/Journal_articles_by_issue/JoPM April 2018/Factors Infuencing Patient Choice.pdf"
"Duncan Hill","NHS Lanarkshire","Comparing cognitive function in patients receiving chronic methadone or buprenorphine for opioid dependence: a systematic review","Article","2018","Hill D., Gardner D. & Baldacchino A. (2018) Comparing cognitive function in patients receiving chronic methadone or buprenorphine for opioid dependence: a systematic review. Heroin Addict Relat Clin Probl 2018; 20(5): 35-49","https://research-repository.st-andrews.ac.uk/handle/10023/16170"
"Duncan Hill","NHS Lanarkshire","Misuse of over the counter medicines in community pharmacies in Scotland","Article","2018","Hill, D., McCabe, A., Paterson, K., Stuart, J., & Campbell, D. (2018). Misuse of over the counter medicines in community pharmacies in Scotland [Article]. Journal of Substance Use, 23(1), 7-13. https://doi.org/10.1080/14659891.2017.1316783","https://doi.org/10.1080/14659891.2017.1316783"
"Duncan Hill","NHS Lanarkshire","Development of Pharmacist independent prescribing clinics to treat opioid analgesic dependence in NHS Lanarkshire","Article","2019","Hill D., Marr E. & Smith C. (2019) Development of Pharmacist Independent Prescribing Clinics to Treat Opioid Analgesic Dependence in NHS Lanarkshire. Pharmacy 2019, 7(3), 119; https://doi.org/10.3390/pharmacy7030119","https://doi.org/10.3390/pharmacy7030119"
"Duncan Hill","NHS Lanarkshire","Case study series – transferring from methadone to oral buprenorphine","Article","2021","Cassells N., Hill D.R., Marr E and Stewart E. (2021) Case study series – transferring from methadone to oral buprenorphine. Heroin Addict Relat Clin Probl 2021; 23(5): 57 – 66",NA
"Duncan Hill","NHS Lanarkshire","Clinical case conference: Strategies for transferring from methadone to buprenorphine","Article","2022","Clinical Case Conference: Strategies for Transferring From Methadone to Buprenorphine - PubMed (nih.gov)","https://pubmed.ncbi.nlm.nih.gov/33870954/"
"Duncan Hill","NHS Lanarkshire","Early-readmission after agonist opioid treatment in five European countries. A drug addiction health policy challenge?","Article","2021","Maremmani I., Hill D., Scherbaum N., Auriacombe M., Bacciardi S., Benyamina A., Casella P., D'Agnone O., Daulouede J.-P., Deruvo G., Fonseca F., Guareschi M., Maremmani A.G.I., Villeger P., Ratcliffe K., Somaini L., Touzeau D., Vernole E., Walcher S., and Dart R. (2021). Early-readmission after Agonist Opioid Treatment in five European countries. A drug addiction health policy challenge? Heroin Addict Relat Clin Probl. 2021; 23 (4): 69 – 79","https://pureportal.strath.ac.uk/en/publications/early-readmission-after-agonist-opioid-treatment-in-five-european"
"Duncan Hill","NHS Lanarkshire","Pilot study using long acting injectable buprenorphine (LAIB) as a novel treatment option in NHS Lanarkshire addiction services in Scotland","Article","2021","Stewart E Marr E. & Hill D. R. (2021) Pilot study using long acting injectable buprenorphine (LAIB) as a novel treatment option in NHS Lanarkshire addiction services in Scotland. Heroin Addict Relat Clin Probl 2021 Published ahead of print 2/11/21","https://www.researchgate.net/publication/361283346_Pilot_study_using_long_acting_injectable_buprenorphine_LAIB_as_a_novel_treatment_option_in_NHS_Lanarkshire_addiction_services_in_Scotland"
"Duncan Hill","NHS Lanarkshire","Take-home naloxone carriage among opioid users in Lanarkshire","Article","2021","Hill D. R., Al Azizi B., Conroy S. and Akram G. (2021) Take-home naloxone carriage among opioid users in Lanarkshire. Heroin Addict Relat Clin Probl. 2021; 23 (3): 45 -50","https://pureportal.strath.ac.uk/en/publications/take-home-naloxone-carriage-among-opioid-users-in-lanarkshire"
"Duncan Hill","NHS Lanarkshire","System-level policies on appropriate opioid use. A multi-stakeholder consensus","Article","2022","Forget, P., Patullo, C., Hill, D., Atul, A., Baldacchino, A., et al. (2022). System-level policies on appropriate opioid use, a multi-stakeholder consensus. BMC Health Services Research, 22, 329.","https://bmchealthservres.biomedcentral.com/articles/10.1186/s12913-022-07696-x"
"Michael Eddleston","NHS Lothian","Acute toxicology following analytically confirmed use of the novel psychoactive substance (NPS) methioprpamine. A report from the Identification of Novel Psychoactive substances (IONA) study","Article","2019","White, J.C., Wood, D.M., Hill, S.L., Eddleston, M., Officer, J., Dargan, P.I., et al. (2019). Acute toxicity following analytically confirmed use of the novel psychoactive substance (NPS) methiopropamine. A report from the Identification of Novel psychoActive substances (IONA) study. Clinical Toxicology, 57(7), pp. 663-667.  https://doi.org/10.1080/15563650.2018.1538519",NA
"Andrew Radley","NHS Tayside","Standing utside the junkie door'--service users' experiences of using community pharmacies to access treatment for opioid dependency","Article","2017","Radley, A., Melville, K., Easton, P., Williams, B., & Dillon, J. F. (2017). 'Standing Outside the Junkie Door'--service users' experiences of using community pharmacies to access treatment for opioid dependency. Journal of Public Health, 39(4), 846-855. https://doi.org/10.1093/pubmed/fdw138","https://doi.org/10.1093/pubmed/fdw138"
"Brian Kidd","NHS/University of Dundee","Co-morbid psychiatric symptoms and clinical outcomes for treatment – seeking opioiddependent patients prescribed methadone opioid substitution therapy (OST): a 7year prospective cohort study","Article","2018","Kidd, B. (2018). Co-morbid psychiatric symptoms and clinical outcomes for treatment - seeking opioid dependent patients prescribed methadone opioid substitution therapy (OST): a 7year prospective cohort study. Mental Health Addiction Research, 3.","https://www.researchgate.net/publication/331934329_Co-morbid_psychiatric_symptoms_and_clinical_outcomes_for_treatment_-_seeking_opioiddependent_patients_prescribed_methadone_opioid_substitution_therapy_OST_a_7year_prospective_cohort_study"
"Brian Kidd","NHS/University of Dundee","Buprenorphine/naloxone and methadone opioid replacement therapy: a 2-year follow-up study and health economic analysis","Article","2019","Kidd, B., Renwick, C., Parrott, S., Matthews, K. & Baldacchino, A. M. (2019). Buprenorphine/naloxone and methadone opioid replacement therapy: a 2-year follow-up study and health economic analysis. Journal of Addiction & Addictive Disorders 6(1):9, 24","https://research-repository.st-andrews.ac.uk/handle/10023/17906"
"Alison Coull","Queen Margaret University","Risk factors for leg ulceration in people who inject drugs","Article","2021","Coull, A., Kyle, R. G., Hanson, C. L. & Watterson, A. E. (2021) Risk factors for leg ulceration in people who inject drugs: A cross‐sectional study. Journal of Clinical Nursing, 30(11-12), pp. 1623-1632.","https://dspace.stir.ac.uk/bitstream/1893/24081/3/Final version thesis Alison Coull 220816.pdf"
"Emma Morrison","Royal Infirmary of Edinburgh","Gabapentin and pregabalin: do the benefits outweigh the harms?","Article","2017","Morrison, E. E., Sandilands, E. A., & Webb, D. J. (2017). Gabapentin and pregabalin: do the benefits outweigh the harms? The journal of the Royal College of Physicians of Edinburgh, 47(4), 310-313. https://journals.sagepub.com/doi/10.4997/jrcpe.2017.402","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https:/www.rcpe.ac.uk/sites/default/files/jrcpe_47_4_morrison.pdf"
"Janice Pettie","Royal Infirmary of Edinburgh","New drug controls and reduced hospital presentations due to novel psychoactive substances in Edinburgh","Article","2018","Pettie, J., Burt, A., Knipe, D. W., Torrance, H., Dow, M., Osinski, K., Greig, R., Sabatini, D., Easterford, K., Dear, J., & Eddleston, M. (2018). New drug controls and reduced hospital presentations due to novel psychoactive substances in Edinburgh. British journal of clinical pharmacology, 84(10), 2303-2310. https://doi.org/10.1111/bcp.13672","https://doi.org/10.1111/bcp.13672"
"Scottish Drugs Forum","Scottish Drugs Forum","Older people with drugs problems in Scotland: Addressing the needs of an ageing population","Report","2017","Working-group-report-OPDPs-in-2017.pdf (sdf.org.uk)","https://www.sdf.org.uk/wp-content/uploads/2017/06/Working-group-report-OPDPs-in-2017.pdf"
"Scottish Drugs Forum","Scottish Drugs Forum","Staying alive in Scotland: Strategies to prevent drug deaths","Research project","2019","Staying-Alive-in-Scotland-Digital.pdf (sdf.org.uk)","https://www.sdf.org.uk/wp-content/uploads/2019/11/Staying-Alive-in-Scotland-Digital.pdf"
"Scottish Drugs Forum","Scottish Drugs Forum","Project to identify the key constituents of such primary care-based HCV treatment and develop and evaluate an acceptable and practicable primary care-based treatment pathway for people who inject drugs","Research project","2021","Optimising Hepatitis C Treatment for People Who Inject Drugs: Developing a GP-led Patient Pathway. (SDF contributed qualitative peer research interviews to project led by research partners from Edinburgh Napier University)","https://www.napier.ac.uk/research-and-innovation/research-search/projects/optimising-hepatitis-c-treatment-for-people-who-inject-drugs-developing-a-gp-led-patient"
"Scottish Drugs Forum","Scottish Drugs Forum","Medication treatment MAT standards for Scotland: Access, choice, support","Research project","2021","MAT-Subgroup-Interim-Report-on-programme-to-date_Mar21.pdf (sdf.org.uk)","https://www.sdf.org.uk/wp-content/uploads/2021/03/MAT-Subgroup-Interim-Report-on-programme-to-date_Mar21.pdf"
"Scottish Drugs Forum","Scottish Drugs Forum","Exploration of the extent of disruption to service and social interactions among people with lived or living experience of substance use in Scotland, and explore potential reasons for variations in disruption, across five areas","Research project","2022","A social network analysis approach to studying whole system disruption related to COVID19 among people who use drugs in Scotland | Request PDF (researchgate.net)","https://www.researchgate.net/publication/366422387_A_social_network_analysis_approach_to_studying_whole_system_disruption_related_to_COVID19_among_people_who_use_drugs_in_Scotland"
"Scottish Drugs Forum","Scottish Drugs Forum","Project with three evaluation strands to examine reach and effect of campaign and whether it had any impact on take-home naloxone supply","Research project","2022","Multi-method evaluation of the ‘How to save a life’ mass media campaign – SDF – Scottish Drugs Forum","https://www.sdf.org.uk/resource/multi-method-evaluation-of-the-how-to-save-a-life-mass-media-campaign/"
"Scottish Drugs Forum","Scottish Drugs Forum","Evaluation of peer naloxone project involving employing peers in three pilot areas","Research project","2023","SDF Publish Report on Peer Naloxone Supply Project – SDF – Scottish Drugs Forum","https://www.sdf.org.uk/sdf-publish-report-on-peer-naloxone-supply-project/"
"Scottish Drugs Forum","Scottish Drugs Forum","Evaluation project into experiences of and learning from decriminalisation areas via qualitative interviews and media analysis","Research project","2023","Working to Decriminalise People Who Use Drugs: Learning from Decriminalisation Efforts in 5 International Jurisdictions – SDF – Scottish Drugs Forum","https://www.sdf.org.uk/resource/working-to-decriminalise-people-who-use-drugs-learning-from-decriminalisation-efforts-in-5-international-jurisdictions/"
"Scottish Drugs Forum","Scottish Drugs Forum","Evaluation of individual journeys of accessing MAT over 6-month period across 8 health boards in Scotland","Research project","ongoing","Medication Assisted Treatment: Service Evaluation of People’s Experience of Accessing MAT in 6 Health Board Areas Across Scotland – SDF – Scottish Drugs Forum","https://www.sdf.org.uk/resource/7927-2/"
"Scottish Drugs Forum","Scottish Drugs Forum","Project aims to determine the administration rate of take-home naloxone and frequency of deaths in the 24 hours following naloxone administration and will gather data on rates of overdose and take-home naloxone use in its various formulations and develop a better understanding of administration","Research project","ongoing","Take-Home Naloxone – SDF – Scottish Drugs Forum","https://www.sdf.org.uk/what-we-do/reducing-harm/take-home-naloxone/"
"SFAD","Scottish Families Affected by Alcohol and Drugs","Insert standard stigmatising headline & image here: Rewriting the media’s portrayal of addiction and recovery","Report","2020","Scottish Families Affected by Alcohol & Drugs (2020). Insert standard stigmatising headline & image here: Rewriting the medai's portrayal of addiction and recovery.",NA
"SFAD","Scottish Families Affected by Alcohol and Drugs","Related overdose reversals in the real world","Report","2020","Scottish Families Affected by Alcohol & Drugs (2020). Constantly just holdng it up and together. Exploring family support in relation to problem susbtance use in Scotland.","https://www.sfad.org.uk/content/uploads/2020/12/Constantly-Just-Holding-It-Up-and-Together-Report.pdf"
